ID;Datetime;Likes;Content
1595723190931947520;2022-11-24 10:17:10+00:00;213;https://t.co/yKLDE6uQMk
1595723187207438336;2022-11-24 10:17:09+00:00;2104;"Nuapa kareba? 

Alhamdulillah, senang sekali dapat kembali bersilaturahmi ke Bumi Tadulako. Terima kasih untuk sambutan hangat teman-teman dari Palu dan sekitarnya. https://t.co/SRrLb5wGH5"
1595024881174855682;2022-11-22 12:02:20+00:00;3843;"Pesan untuk semua teman-teman relawan.

#AniesBaswedan #RelawanAnies https://t.co/HPAJ8fNY8b"
1594839656905965571;2022-11-21 23:46:19+00:00;578;Apabila ingin membantu berupa pengumpulan barang yg jadi kebutuhan mendesak warga, bisa hubungi nomor hotline di bawah ini. https://t.co/ePFDnmqhid
1594839654238490624;2022-11-21 23:46:18+00:00;4154;Mari bantu saudara2 kita yg terdampak gempa di Cianjur. Di bawah ini tautan penggalangan dana yg dikelola oleh Jabar Quick Response. https://t.co/TqAJTVCvm9
1594692155968454656;2022-11-21 14:00:12+00:00;5484;Innalillahi wa inna ilaihi raji'un. Turut berduka atas bencana gempa bumi yang menimpa daerah Cianjur dan sekitarnya. Mari berdoa untuk saudara-saudara kita agar diberi ketabahan, dan mari bantu apa yg kita bisa. Semoga Cianjur lekas bangkit dan pulih kembali.
1594301573387063296;2022-11-20 12:08:10+00:00;572;https://t.co/duelIf1O6l
1594301561236180992;2022-11-20 12:08:07+00:00;7348;"Senang sekali bisa mengikuti jalan sehat bersama ribuan warga yang memadati Alun-Alun Ciamis tadi pagi.

Insya Allah dari Ciamis kita kirimkan pesan perubahan ke seluruh Indonesia.

Ciamis Manis 
Manjing Dinamis
Hatur Nuhun https://t.co/TvJPT91ftq"
1594228720591843333;2022-11-20 07:18:40+00:00;1058;"Terima kasih atas sambutan hangat dan terima kasih untuk nasehat yang diberikan, mohon doa untuk mengemban amanah ke depan.

#SilaturahmiKebangsaan #Tasikmalaya #Ciamis #JawaBarat

https://t.co/05X3Uy0gk4 https://t.co/KgVXmpKMmk"
1594228709393039360;2022-11-20 07:18:38+00:00;4977;"Alhamdulillah, memulai silaturahmi kebangsaan di Jawa Barat dari Tasikmalaya dan Ciamis.

Bersilaturahmi ke Pondok Pesantren Mathla'ul Khaer Cintapada, Pesantren Sirnarasa Abah Aos, Pesantren Suryalaya, Pesantren Cipasung &amp; Pesantren Darussalam di Ciamis.

#SilaturahmiKebangsaan https://t.co/rTtPoUjvtr"
